Paquetes rcv,Tiempo instantaneo,Numero de paquete,Altitud BMP,Temperatura BMP ©,Presion mBar,Tension de la bateria V,Longitud,Latitud,Altitud GPS,Satelites GPS,Etapa de vuelo,GPS Hora,GPS Minutos,GPS Segundos,,,,
140,2088,140,303.2200012,50.2899971,953.9199829,7.96999979,9.993383408,-84.65246582,339.1000061,12,33,12,45,36.5,,,, 
141,2088,141,300.2599792,50.2899971,954.25,7.96999979,9.993425369,-84.65246582,348.7999878,12,33,12,45,36.59375,,,, 
142,2088,142,298.25,50.27999878,954.4799805,7.96999979,9.993447304,-84.65245819,360.2999878,12,33,12,45,36.703125,,,, 
143,2088,143,296.2099915,50.27000046,954.7199707,7.96999979,9.993463516,-84.65245819,367.6999817,12,33,12,45,36.796875,,,, 
144,2089,144,293.019989,50.27000046,955.0799561,7.96999979,9.993475914,-84.65245819,373.8999939,12,33,12,45,36.921875,,,, 
145,2089,145,289.6999817,50.27999878,955.4599609,7.96999979,9.993488312,-84.65245819,379.1999817,12,33,12,45,37,,,, 
146,2089,146,286.9499817,50.27000046,955.7699585,7.96999979,9.993508339,-84.6524353,385.6999817,12,33,12,45,37.203125,,,, 
147,2089,147,284.2099915,50.27999878,956.0799561,7.96999979,9.993519783,-84.65245819,389.5,12,33,12,45,37.296875,,,, 
148,2089,148,280.9299927,50.2899971,956.4599609,7.96999979,9.993533134,-84.65245819,393.6000061,12,33,12,45,37.390625,,,, 
149,2089,149,278.4299927,50.25999832,956.7399902,7.96999979,9.993540764,-84.65245819,400.2999878,12,33,12,45,37.5,,,, 
150,2089,150,274.9899902,50.27999878,957.1399536,7.96999979,9.993546486,-84.65245819,406.6000061,12,33,12,45,37.59375,,,, 
151,2089,151,278.9599915,50.27999878,956.6799927,7.960000038,9.993549347,-84.65245819,412.8999939,12,33,12,45,37.703125,,,, 
152,2089,152,287.7099915,50.2899971,955.6900024,7.960000038,9.993556976,-84.65245819,418.2999878,12,33,12,45,37.796875,,,, 
153,2089,153,289.6799927,50.2899971,955.4599609,7.960000038,9.993564606,-84.65245819,421.3999939,12,33,12,45,37.921875,,,, 
154,2090,154,295.4400024,50.2899971,954.7999878,7.960000038,9.993570328,-84.65245819,424.5,12,33,12,45,38,,,, 
155,2090,155,244.9899902,50.27000046,960.5700073,7.929999828,9.993577957,-84.6524353,426.5,12,33,12,45,38.078125,,,, 
156,2090,156,239.1100006,50.27000046,961.2399902,7.929999828,9.993588448,-84.6524353,427.5,12,33,12,45,38.203125,,,, 
157,2090,157,241.2299957,50.27000046,961,7.929999828,9.993601799,-84.6524353,428.2999878,12,33,12,45,38.296875,,,, 
158,2090,158,244.8399963,50.25999832,960.5799561,7.929999828,9.993626595,-84.6524353,429.3999939,12,33,12,45,38.5,,,, 
159,2090,159,236.9099884,50.25999832,961.4899902,7.929999828,9.993638039,-84.65242767,429.6999817,9,33,12,45,38.59375,,,, 
160,2090,160,239.7099915,50.27000046,961.1699829,7.919999599,9.99365139,-84.65242767,429.8999939,7,33,12,45,38.703125,,,, 
161,2090,161,238.5599976,50.25,961.2999878,7.940000057,9.993664742,-84.65240479,430,6,33,12,45,38.796875,,,, 
162,2090,162,236.0999908,50.25999832,961.5899658,7.940000057,9.993674278,-84.65240479,430.0999756,6,33,12,45,38.921875,,,, 
163,2091,163,236.9700012,50.25999832,961.4799805,7.940000057,9.993684769,-84.65240479,430.1999817,6,33,12,45,39,,,, 
164,2091,164,236.3199921,50.25,961.5599976,7.940000057,9.993697166,-84.65238953,430.1999817,6,33,12,45,39.078125,,,, 
165,2091,165,236.0899963,50.25,961.5899658,7.940000057,9.993708611,-84.65238953,430.2999878,6,33,12,45,39.203125,,,, 
166,2091,166,236.0899963,50.25,961.5899658,7.940000057,9.993721962,-84.65236664,430.2999878,6,33,12,45,39.296875,,,, 
167,2091,167,234.4399872,50.25,961.7799683,7.949999809,9.99373436,-84.65236664,430.3999939,7,33,12,45,39.390625,,,, 
168,2091,168,232.8799896,50.23999786,961.9499512,7.949999809,9.993760109,-84.65234375,430.5999756,5,33,12,45,39.59375,,,, 
169,2091,169,235.1499939,50.25,961.6900024,7.949999809,9.993771553,-84.65234375,430.5999756,5,33,12,45,39.703125,,,, 
170,2091,170,233.1599884,50.25999832,961.9199829,7.949999809,9.99378109,-84.65231323,430.6999817,5,33,12,45,39.796875,,,, 
171,2091,171,233.019989,50.25,961.9400024,7.949999809,9.993789673,-84.65229797,430.8999939,5,33,12,45,39.921875,,,, 
172,2092,172,233.019989,50.25,961.9400024,7.949999809,9.993802071,-84.65227509,431,5,33,12,45,40,,,, 
173,2092,173,231.6799927,50.25999832,962.0899658,7.949999809,9.993811607,-84.65225983,431.1999817,6,33,12,45,40.078125,,,, 
174,2092,174,230.8300018,50.25999832,962.1900024,7.949999809,9.993823051,-84.65224457,431.1999817,6,33,12,45,40.203125,,,, 
175,2092,175,231.0999908,50.25,962.1599731,7.949999809,9.993830681,-84.65224457,431.1999817,7,33,12,45,40.296875,,,, 
176,2092,176,231,50.25,962.1699829,7.949999809,9.993833542,-84.65222168,431.2999878,7,33,12,45,40.390625,,,, 
177,2092,177,227.1900024,50.25,962.6099854,7.949999809,9.993835449,-84.65221405,431.3999939,7,33,12,45,40.5,,,, 
178,2092,178,229.5499878,50.25999832,962.3399658,7.949999809,9.993835449,-84.65221405,431.5999756,7,33,12,45,40.59375,,,, 
179,2092,179,228.9799957,50.25999832,962.3999634,7.949999809,9.993835449,-84.65221405,431.7999878,7,33,12,45,40.703125,,,, 
180,2092,180,228.5399933,50.25,962.4499512,7.949999809,9.993833542,-84.65221405,431.8999939,8,33,12,45,40.796875,,,, 
181,2093,181,226.9299927,50.27000046,962.6399536,7.949999809,9.993835449,-84.65219116,432.0999756,8,33,12,45,40.921875,,,, 
182,2093,182,226.7899933,50.25999832,962.6499634,7.949999809,9.993831635,-84.65219116,432.2999878,8,33,12,45,41.078125,,,, 
